name,source,should_map_to_label,should_map_to_label_source,kingdom,phylum,order,family,genus,species,oval,arborescent,encrusting,digitate,meandroid,columnar,free_living,plating,fleshy,submassive,round,massive,tubular,bushy,external_polyps,foliose,solitary,brain,phaceloid,branching,tabular,corymbose,lobed_brain,cup_coral,dead,bleached,algae,background,anthropogenic,trash,transect,macroalgae,dark,class
fish,coralscapes,,,animalia,chordata,not_given,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,not_given
galaxea alive,coralscapes,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,False,False,True,False,not given,not given,not given,not given,not given,True,False,True,False,not given,False,not given,False,not given,False,False,False,False,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
galaxea bleached,coralscapes,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,False,False,True,False,not given,not given,not given,not given,not given,True,False,True,False,not given,False,not given,False,not given,False,False,False,False,not given,False,False,True,False,False,False,False,False,False,False,hexacorallia
galaxea dead,coralscapes,,,animalia,cnidaria,scleractinia,euphylliidae,galaxea,not_given,False,False,True,False,not given,not given,not given,not given,not given,True,False,True,False,not given,False,not given,False,not given,False,False,False,False,not given,False,True,False,False,False,False,False,False,False,False,hexacorallia
hard coral alive,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,not given,False,not given,False,not given,False,not given,not given,not given,not given,False,False,False,False,False,False,False,False,False,False,hexacorallia
hard coral bleached,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,not given,False,not given,False,not given,False,not given,not given,not given,not given,False,False,True,False,False,False,False,False,False,False,hexacorallia
hard coral dead,coralscapes,,,animalia,cnidaria,scleractinia,not_given,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,not given,False,not given,False,not given,False,not given,not given,not given,not given,False,True,False,False,False,False,False,False,False,False,hexacorallia
hard substrate,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,none
human,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,True,False,False,False,False,none
human-made structure,coralscapes,,,none,none,none,none,none,none,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,True,False,False,False,False,none
leather coral alive,coralscapes,,,animalia,cnidaria,malacalcyonacea,sarcophytidae,sarcophyton,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,False,False,octocorallia
nephtheidae alive,coralscapes,nephtheidae,mermaid,animalia,cnidaria,malacalcyonacea,nephtheidae,not_given,not_given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,not given,False,False,False,False,False,False,False,False,False,octocorallia
lobophylliidae alive,coralscapes,,,animalia,cnidaria,scleractinia,lobophylliidae,not_given,not_given,False,False,not given,False,True,not given,not given,not given,not given,True,False,True,False,False,False,False,False,not given,not given,False,False,False,True,False,False,False,False,False,False,False,False,False,False,hexacorallia
lobophylliidae bleached,coralscapes,,,animalia,cnidaria,scleractinia,lobophylliidae,not_given,not_given,False,False,not given,False,True,not given,not given,not given,not given,True,False,True,False,False,False,False,False,not given,not given,False,False,False,True,False,False,True,False,False,False,False,False,False,False,hexacorallia
