Source,Num Annotations,Num Images,Num Unique Labels
s2960/,6825,273,5
s2969/,3000,300,36
s2971/,5600,224,23
s2978/,81114,3027,77
s299/,40,2,8
s2991/,9900,99,16
s2995/,1110,74,8
s3004/,1800,72,15
s3007/,100,1,2
s3008/,2000,20,8
s3010/,1800,18,9
s3011/,7600,76,8
s3012/,100,1,2
s3013/,800,8,9
s3015/,35594,7081,75
s3018/,0,0,0
s3028/,2050,41,14
s3032/,100,1,2
s3046/,3800,160,41
s3054/,1900,38,14
s3058/,203258,27418,128
s3060/,4300,86,14
s3061/,1300,26,11
s3063/,40300,1612,87
s3064/,87000,3480,37
s3069/,700,28,8
s307/,81728,5108,84
s3072/,30,1,7
s3074/,0,0,0
s3075/,750,25,9
s3076/,1200,40,14
s3077/,750,25,12
s3078/,1200,40,13
s3079/,600,20,11
s3080/,900,30,13
s3081/,600,20,11
s3082/,300,10,11
s3083/,600,20,12
s3084/,600,20,11
s3085/,300,10,9
s3086/,300,10,14
s3087/,325,13,6
s3088/,300,10,10
s3089/,600,20,11
s3091/,900,30,14
s3092/,300,10,11
s3093/,900,30,15
s3094/,600,20,15
s3095/,660,22,14
s3096/,300,10,10
s3097/,360,12,12
s3098/,300,10,12
s3099/,300,10,12
s3100/,300,10,8
s3102/,300,10,10
s3103/,300,10,12
s3111/,0,0,0
s3119/,200,5,6
s3120/,300,10,12
s3121/,240,6,6
s3122/,240,6,6
s3133/,240,6,6
s3135/,300,10,13
s3137/,600,20,7
s3138/,600,20,12
s3156/,9200,92,58
s3171/,300,10,12
s3172/,16950,339,9
s3173/,300,10,10
s3177/,300,10,12
s3180/,300,10,15
s3191/,0,0,0
s3197/,200,10,16
s3205/,1074,1074,6
s3207/,0,0,0
s3213/,240,6,4
s3237/,30,1,7
s3241/,16325,653,49
s3249/,13000,260,40
s3257/,240,6,6
s3263/,18750,375,50
s3269/,0,0,0
s3271/,0,0,0
s3276/,240,6,6
s3290/,62800,628,54
s3294/,278300,11132,50
s3295/,2500,100,20
s3298/,92000,920,64
s3299/,3605,103,6
s3300/,1875,75,32
s3305/,2575,103,6
s3307/,0,0,0
s3327/,16000,80,22
s3329/,943,10,14
s3346/,58150,582,23
s3349/,17720,443,55
s3350/,2856,238,24
s3351/,0,0,0
s3357/,16950,565,19
s3362/,1840,46,9
s3363/,506138,16498,113
s3365/,11475,459,14
s3366/,32320,505,19
s3368/,2910,97,27
s3371/,306000,30600,94
s3373/,10625,425,37
s3374/,9675,387,25
s3375/,10225,409,24
s3376/,16075,643,39
s3377/,10500,420,26
s3378/,10125,405,26
s3379/,26300,526,56
s3383/,31475,1259,9
s3386/,18,1,6
s3396/,20100,804,5
s3401/,243650,7196,82
s3402/,15000,600,26
s3406/,1550,62,17
s3410/,103,4,8
s3411/,252569,15947,108
s3412/,141300,1706,88
s3413/,126975,5079,84
s3414/,144238,5771,65
s3415/,114625,3242,81
s3416/,120600,4824,72
s3417/,123225,2378,63
s3418/,10100,202,11
s3419/,1520,152,10
s3420/,134173,671,20
s3421/,44509,8852,71
s3424/,67610,3098,63
s3425/,68700,687,67
s3438/,4499,146,3
s3439/,3900,126,3
s3440/,58000,1160,38
s3441/,3774,142,4
s3442/,3575,135,3
s3443/,3850,133,5
s3444/,2825,110,2
s3446/,242794,8860,99
s3449/,0,0,0
s3456/,0,0,0
s3460/,260525,7202,81
s3465/,591246,14092,74
s3466/,279400,7202,56
s3467/,206320,6133,62
s3468/,0,0,0
s3470/,0,0,0
s3472/,286,7,6
s3478/,66763,6133,81
s3479/,172085,14092,94
s3480/,450,45,6
s3481/,500,50,6
s3483/,1960,196,11
s3484/,0,0,0
s3486/,1020,102,6
s3488/,220,22,5
s3489/,860,86,10
s3491/,870,87,7
s3492/,280,28,5
s3493/,200,20,5
s3494/,1400,140,7
s3496/,172970,9000,84
s3497/,194350,6000,77
s3498/,120754,671,20
s3499/,194350,6000,77
s350/,19640,395,15
s3500/,169970,6000,84
s3508/,13050,261,26
s3519/,28464,1779,48
s3520/,50600,253,49
s3522/,110950,4438,4
s3528/,100,2,7
s3530/,200,4,8
s3531/,1,1,1
s3533/,100,2,5
s3534/,100,2,6
s3535/,50,1,5
s3536/,100,2,7
s3537/,100,2,6
s3545/,566418,14092,94
s3546/,26725,1050,35
s3551/,205050,7202,81
s3554/,169970,6000,84
s3555/,58800,2000,63
s3559/,679622,14092,52
s3560/,1100,55,3
s3565/,0,0,0
s3567/,313950,7419,105
s3569/,0,0,0
s3573/,58800,2000,63
s3574/,26890,1200,56
s3577/,270550,5411,56
s3581/,411515,10578,69
s3583/,6675,200,48
s3588/,3900,156,20
s3589/,15600,624,27
s3606/,85750,3430,67
s3611/,930,186,5
s3627/,20,2,10
s3634/,9,1,3
s3637/,112,2,1
s3653/,97437,756,31
s3656/,9000,360,56
s3666/,800,4,12
s3680/,886,4,9
s3681/,12895,2579,46
s3685/,932,31,27
s3686/,704,11,10
s3688/,768,12,29
s3689/,1920,30,21
s3692/,74125,2965,80
s3697/,52450,1049,31
s3704/,23475,939,25
s3705/,0,0,0
s3719/,10800,108,17
s372/,660980,66098,64
s3722/,158300,1583,17
s373/,294850,29485,92
s3735/,1000,2,16
s3737/,177150,2143,53
s3749/,38,10,4
s3752/,0,0,0
s376/,10975,439,12
s3765/,21350,427,27
s3768/,13250,530,26
s3771/,13466,373,28
s3773/,20000,200,15
s3776/,45000,450,26
s3777/,90100,3604,75
s3785/,132000,1320,18
s3787/,41,2,9
s3791/,300,10,10
s3792/,300,10,5
s3794/,300,10,12
s3797/,480,16,11
s3799/,600,20,10
s3800/,600,20,9
s3801/,600,20,9
s3803/,450,15,15
s3804/,300,10,6
s3805/,300,10,10
s3806/,300,10,7
s3807/,1860,93,6
s3831/,600,20,12
s3833/,300,10,10
s3836/,900,30,13
s3837/,600,20,11
s3838/,750,25,15
s3839/,300,10,11
s3840/,750,25,11
s3841/,900,30,12
s3842/,300,10,8
s3843/,300,10,10
s3844/,300,10,11
s3848/,600,20,21
s3857/,600,24,13
s3859/,300,10,8
s3862/,450,15,9
s3863/,300,10,5
s3865/,150,5,14
s3866/,300,10,12
s3867/,300,10,13
s3871/,600,20,10
s3882/,600,20,12
s3883/,300,10,11
s3884/,300,10,9
s3891/,900,30,11
s3893/,600,20,15
s3894/,450,15,13
s3895/,300,10,6
s3896/,150,5,8
s3906/,750,25,13
s3922/,8400,336,25
s3928/,240,6,6
s3929/,240,6,6
s3930/,900,30,10
s3931/,300,10,12
s3932/,45075,1803,40
s3933/,300,10,8
s3934/,300,10,8
s3945/,300,10,7
s3948/,79875,355,35
s3949/,28131,284,54
s3956/,80,2,7
s3962/,0,0,0
s3966/,330,11,8
s3975/,22875,915,19
s3978/,880,88,7
s3984/,1960,196,12
s3985/,2640,88,22
s3988/,380,38,9
s3989/,3580,179,17
s3996/,1580,158,16
s4007/,31300,625,53
s4009/,706000,1690,42
s4015/,1,1,1
s4016/,0,0,0
s4017/,352,13,7
s4018/,25,1,7
s4020/,240,6,6
s4021/,240,6,6
s4022/,240,6,5
s4028/,675,27,4
s4029/,200,10,5
s4043/,0,0,0
s4049/,380,38,8
s4063/,410,41,10
s4084/,240,6,9
s4085/,240,6,9
s4088/,4720,236,20
s4091/,18520,463,68
s4104/,14100,141,25
s4121/,0,0,0
s4122/,550,22,4
s4124/,700,28,2
s4128/,7100,142,9
s4148/,398410,19333,77
s4159/,930,30,26
s4167/,0,0,0
s4168/,5000,50,13
s4191/,120,12,7
s4200/,4750,475,21
s4205/,1625,65,7
s4206/,310,31,9
s4209/,46280,464,41
s4223/,0,0,0
s4229/,137700,612,48
s4235/,25000,250,11
s4246/,2690,269,8
s4250/,71400,1428,68
s4251/,1856,29,16
s4252/,704,11,10
s4254/,39400,788,60
s428/,0,0,0
s4280/,1010,101,10
s4281/,1200,12,3
s4282/,920,46,3
s4284/,0,0,0
s4285/,330,33,14
s4286/,580,58,9
s4288/,0,0,0
s4290/,0,0,0
s4291/,590,59,8
s4292/,21575,863,51
s4297/,3,1,1
s4300/,150,3,9
s4301/,3528,72,4
s4302/,610,61,12
s4310/,17153,377,35
s4311/,11900,595,8
s4313/,32500,325,23
s4336/,6200,62,2
s4338/,263,14,11
s4341/,2550,102,34
s4342/,29696,464,94
s4353/,8975,359,45
s4354/,183600,1836,46
s4356/,8987,68,4
s4364/,2200,22,5
s4365/,800,8,25
s4372/,44,1,11
s4378/,2040,102,27
s4390/,4375,175,14
s4391/,12550,502,14
s4402/,14150,566,12
s4403/,15975,639,16
s4404/,16350,327,30
s4411/,16900,676,11
s4413/,3000,15,40
s4417/,50300,503,14
s4421/,200,1,4
s4430/,159763,3165,153
s4435/,1092,78,10
s4437/,0,0,0
s4446/,0,0,0
s4447/,153000,153,21
s4451/,10220,511,40
s4472/,25,1,7
s4476/,12350,247,30
s4482/,2600,104,16
s4483/,1300,52,10
s4485/,60,2,6
s4486/,150,5,6
s4487/,1500,50,15
s4489/,30,1,7
s4492/,117,4,10
s4494/,0,0,0
s4495/,1500,50,17
s4496/,60,2,7
s4497/,30,1,8
s4498/,0,0,0
s450/,127796,2556,12
s4500/,120,4,11
s4501/,30,1,3
s4503/,0,0,0
s4505/,0,0,0
s4506/,1500,50,21
s4514/,9300,372,44
s4517/,750,25,14
s4518/,50,2,6
s4519/,500,20,4
s4520/,30,1,5
s4523/,0,0,0
s4528/,25,1,3
s4531/,0,0,0
s4532/,1500,50,19
s4559/,304600,12184,80
s4576/,1152,8,6
s4578/,120,1,4
s4584/,864,24,8
s4596/,19370,1937,50
s4603/,15936,249,85
s4614/,4480,70,37
s4638/,400,40,8
s4639/,390,39,9
s4646/,625,25,15
s4651/,50,2,7
s4653/,100,10,7
s4659/,2560,256,11
s466/,112104,1557,47
s4664/,0,0,0
s4671/,1325,53,22
s4672/,1575,63,26
s4675/,1875,75,27
s4677/,225,4,2
s4679/,1300,52,20
s4681/,625,25,7
s4688/,140,1,3
s4691/,625,25,6
s4692/,625,25,8
s4710/,209600,4192,141
s4715/,21775,871,15
s4716/,5350,214,17
s4717/,1550,62,10
s4718/,14850,594,19
s4719/,18225,729,19
s4720/,1525,61,24
s4721/,209600,4191,147
s4724/,17225,689,18
s4725/,3225,129,12
s4726/,11000,440,21
s4732/,22725,909,29
s4733/,19800,792,20
s4734/,11325,453,20
s4735/,6425,257,18
s4750/,30,1,6
s4752/,0,0,0
s4754/,4,1,2
s4758/,2200,55,12
s4759/,65000,65,15
s4761/,20325,813,20
s4765/,10,1,1
s4767/,800,40,15
s4768/,1088,34,34
s4770/,2,1,1
s4772/,15400,308,12
s4779/,37436,764,27
s4782/,207,12,1
s4789/,6875,275,25
s4795/,30927,2379,61
s4810/,15736,105,5
s4811/,1625,65,24
s4816/,16350,654,18
s4840/,0,0,0
s4851/,900,36,11
s4858/,2310,77,10
s4861/,111700,1117,167
s4862/,850,34,18
s4874/,0,0,0
s4878/,24750,990,20
s4882/,7845,484,43
s4890/,20800,210,23
s4892/,0,0,0
s4893/,0,0,0
s4895/,33500,670,46
s4897/,0,0,0
s4902/,30,1,3
s4904/,22536,626,38
s4906/,137000,137,29
s4909/,28273,577,20
s4915/,520,40,8
s4918/,240,6,6
s4919/,7600,304,20
s4934/,798,4,9
s4937/,15,1,1
s4948/,5000,50,27
s4949/,525,21,14
s4952/,5513,85,27
s4957/,78170,15634,80
s4963/,69000,2300,18
s4964/,520,40,22
s4966/,2000,80,42
s4971/,19316,1204,3
s4976/,210,21,2
s4981/,0,0,0
s4982/,520,40,27
s4986/,520,40,14
s4987/,520,40,10
s4988/,520,40,13
s4992/,520,40,13
s4993/,520,40,22
s4995/,520,40,15
s4996/,520,40,17
s4997/,520,40,26
s4999/,520,40,22
s5000/,520,40,18
s5001/,520,40,14
s5004/,240,6,4
s5005/,520,40,17
s5016/,520,40,19
s5018/,520,40,21
s5019/,520,40,22
s5023/,520,40,18
s5024/,520,40,24
s5026/,520,40,21
s5027/,520,40,19
s503/,23400,234,9
s5035/,240,6,7
s5041/,240,6,5
s5057/,8,1,2
s5062/,520,40,24
s5065/,520,40,25
s5066/,520,40,24
s5067/,520,40,21
s5068/,520,40,20
s5069/,520,40,20
s5073/,520,40,18
s5086/,20200,1010,64
s5087/,5560,278,21
s5094/,240,6,3
s5095/,240,6,3
s5100/,520,40,26
s5101/,520,40,26
s5102/,520,40,34
s5103/,0,0,0
s5104/,520,40,22
s5118/,3240,108,31
s5119/,720,24,19
s5120/,1440,48,31
s5121/,1849,28,31
s5130/,520,40,31
s5131/,520,40,34
s5132/,520,40,25
s5135/,5,1,1
s5149/,15750,70,3
s5155/,270000,2700,68
s5180/,0,0,0
s5181/,53150,2126,103
s5183/,546,42,21
s5184/,1560,156,7
s5185/,1000,100,10
s5186/,1160,116,10
s5187/,1530,153,9
s5188/,1570,157,11
s5189/,1530,153,9
s5190/,1140,114,10
s5191/,1500,150,11
s5192/,1500,150,13
s5193/,1500,150,13
s5194/,1510,151,9
s5195/,1510,151,11
s5196/,2080,208,9
s5197/,990,99,7
s5198/,1970,197,7
s5199/,1016,127,9
s5200/,1590,159,8
s5201/,1520,152,6
s5203/,3718,143,18
s5204/,2312,100,18
s5209/,95875,3835,49
s5213/,273,21,14
s5216/,0,0,0
s5218/,25235,515,9
s5219/,35022,210,49
s5221/,20180,1009,61
s5223/,273,21,16
s5227/,15900,159,16
s5233/,9360,312,50
s5239/,39,3,6
s5252/,2975,119,7
s5253/,17,1,4
s5255/,4050,81,5
s5258/,980,49,18
s5262/,13484,3371,59
s5268/,36,4,5
s5278/,36,4,2
s5288/,3,1,3
s5304/,22000,220,8
s5307/,570,19,13
s5308/,25,1,5
s5309/,0,0,0
s5310/,180,6,9
s5315/,115020,1917,17
s5316/,650,26,13
s5318/,21500,215,11
s5320/,0,0,0
s5325/,20000,640,26
s5326/,16025,454,29
s5328/,5300,53,18
s5329/,5825,181,28
s5331/,5610,187,18
s5337/,0,0,0
s5339/,500,50,17
s5341/,330,11,12
s5342/,250,50,12
s5349/,1,1,1
s5363/,140,14,25
s5365/,1500,50,18
s5377/,1500,50,17
s5382/,0,0,0
s5383/,0,0,0
s5384/,1500,50,19
s5390/,0,0,0
s5391/,230,23,5
s5392/,360,12,3
s5393/,520,40,23
s5394/,520,40,23
s5395/,49950,999,71
s5398/,2200,110,25
s5399/,520,40,15
s5411/,22344,456,16
s5413/,520,40,14
s5416/,520,40,16
s5417/,520,40,18
s5423/,363,14,9
s5428/,520,40,15
s5436/,520,40,33
s5437/,520,40,21
s5438/,520,40,24
s5439/,520,40,29
s5440/,520,40,24
s5441/,520,40,19
s5444/,23000,460,33
s5445/,520,40,15
s5446/,520,40,24
s5449/,520,40,21
s5450/,520,40,15
s5451/,520,40,13
s5453/,15600,1200,67
s5454/,520,40,16
s5457/,57675,2307,10
s5458/,520,40,18
s5459/,520,40,18
s546/,15600,78,25
s5460/,520,40,17
s5461/,520,40,15
s5465/,520,40,17
s5467/,520,40,15
s5468/,520,40,13
s5471/,520,40,13
s5473/,520,40,15
s5474/,520,40,17
s5476/,520,40,16
s5477/,24400,1220,68
s5479/,520,40,16
s5480/,520,40,15
s5484/,750,25,15
s5491/,1500,50,19
s5492/,520,40,21
s5493/,520,40,23
s5494/,520,40,12
s5495/,520,40,11
s5496/,520,40,19
s5497/,520,40,18
s5512/,0,0,0
s5513/,165,6,7
s5521/,4200,42,10
s5522/,30,1,4
s5528/,30,1,13
s5532/,30,1,4
s554/,335925,22395,42
s5542/,5700,57,11
s5543/,1500,50,16
s5546/,210000,7000,24
s5549/,4825,193,23
s5562/,8940,447,15
s5564/,35100,351,114
s5570/,0,0,0
s5576/,78,6,10
s5577/,61,5,8
s5582/,520,40,16
s5591/,30,1,2
s5593/,520,40,20
s5603/,520,40,18
s5637/,30,1,4
s5652/,1500,50,18
s5653/,1500,50,14
s5670/,900,30,2
s5672/,600,20,6
s5674/,720,24,5
s5675/,520,40,10
s5678/,0,0,0
s5680/,90,3,7
s5684/,0,0,0
s5688/,520,40,12
s5689/,520,40,16
s5690/,7650,34,23
s5691/,520,40,14
s5694/,1500,50,20
s5699/,930,31,5
s57/,168100,1681,27
s5702/,0,0,0
s5739/,600,20,6
s5745/,1500,50,21
s5749/,0,0,0
s5752/,66000,660,49
s5755/,1500,50,19
s5756/,3000,30,20
s5760/,1500,50,19
s5761/,1500,50,20
s5769/,5600,56,12
s5774/,1200,30,20
s5776/,80,5,1
s5777/,0,0,0
s5781/,0,0,0
s5788/,520,40,14
s5796/,4200,42,15
s580/,8000,200,13
s5808/,2600,200,29
s5810/,520,40,16
s5812/,520,40,20
s5813/,520,40,17
s5814/,520,40,20
s5815/,520,40,17
s5817/,1500,50,13
s5818/,1500,50,15
s5819/,1500,50,11
s5820/,1500,50,13
s5821/,1500,50,12
s5822/,1500,50,9
s5823/,1500,50,10
s5824/,1500,50,8
s5825/,1500,50,11
s5826/,1500,50,9
s5829/,200,2,4
s5831/,1184,74,40
s5836/,51084,516,21
s5837/,144,12,11
s5838/,0,0,0
s5839/,0,0,0
s5840/,0,0,0
s5847/,39784,243,46
s5864/,336,14,10
s5874/,60,2,6
s5878/,60,2,6
s5882/,60,2,5
s5883/,30,1,7
s5884/,30,1,6
s5889/,180,6,11
s5900/,2400,80,27
s5902/,1500,50,19
s5903/,1500,50,20
s5909/,520,40,7
s5910/,520,40,7
s5911/,520,40,8
s5916/,65,5,9
s5923/,1500,50,23
s5924/,300,10,12
s5925/,400,10,11
s5926/,500,10,11
s5927/,450,15,9
s5928/,600,15,12
s5929/,375,15,10
s5938/,0,0,0
s5942/,2512,157,51
s5949/,13640,682,41
s5952/,520,40,10
s5953/,520,40,9
s5957/,1620,54,18
s5958/,1070,107,10
s5959/,1060,106,10
s5960/,1050,105,12
s5961/,0,0,0
s5967/,1500,50,16
s5968/,1620,54,17
s5977/,520,40,18
s5980/,520,40,23
s5981/,520,40,23
s5984/,1760,44,12
s5996/,1500,50,19
s6008/,450,20,19
s6014/,1500,50,16
s6017/,4100,41,24
s6026/,930,31,20
s6029/,3520,44,5
s6031/,600,15,8
s6053/,49292,491,77
s6054/,18600,186,11
s6059/,200,10,6
s6060/,580,29,3
s6061/,280,14,3
s6067/,480,24,3
s6068/,5450,109,54
s6069/,57,3,1
s6071/,80,4,3
s6072/,100,5,3
s6073/,100,5,3
s6074/,80,4,4
s6075/,80,4,2
s6077/,40,2,2
s6078/,440,22,3
s6079/,100,5,3
s6092/,9,1,3
s6105/,80,4,4
s6106/,60,3,2
s6107/,80,4,3
s6108/,100,5,3
s6109/,60,3,3
s6110/,60,3,2
s6111/,100,5,2
s6113/,80,4,3
s6116/,231700,2317,13
s6118/,3000,30,27
s6123/,0,0,0
s6124/,0,0,0
s6150/,150,5,9
s6153/,180,9,16
s6157/,80,4,6
s6158/,40,2,3
s6159/,60,3,2
s616/,17700,354,35
s6166/,1140,114,10
s6167/,1520,152,10
s6169/,1570,157,12
s6171/,1890,189,10
s6172/,60,2,4
s6173/,0,0,0
s6174/,1890,189,10
s6175/,0,0,0
s6176/,0,0,0
s6177/,3190,319,8
s6178/,2140,214,9
s6179/,3120,312,8
s6186/,540,18,6
s6189/,450,15,14
s6191/,6930,231,17
s620/,10300,206,31
s6201/,2448,153,31
s6202/,2624,164,50
s6203/,1680,105,35
s6204/,24684,204,62
s6207/,2550,102,15
s6210/,20220,1011,62
s6212/,96,4,4
s6213/,0,0,0
s6215/,5000,200,7
s6218/,123400,1234,41
s6219/,125,5,2
s6222/,2450,98,3
s6229/,37350,1494,36
s6235/,1020,51,11
s6242/,1728,108,45
s6247/,10,1,8
s6253/,62025,2481,18
s6254/,140,7,4
s6255/,160,8,4
s6256/,120,6,3
s6257/,51950,2078,21
s6259/,107675,4307,20
s6271/,1500,15,13
s6288/,900,30,7
s6291/,140,7,4
s6292/,140,7,2
s6293/,120,6,2
s6294/,24300,972,31
s6297/,52500,2100,10
s6300/,0,0,0
s6315/,140,7,2
s6316/,140,7,2
s6324/,8125,325,10
s6326/,12,3,8
s6328/,0,0,0
s6337/,25,5,10
s6340/,0,0,0
s6342/,0,0,0
s6344/,5,1,3
s6352/,520,40,19
s6353/,520,40,16
s6363/,1040,80,18
s6366/,27000,120,28
s6369/,520,40,19
s6370/,520,40,13
s6371/,520,40,17
s6375/,520,40,22
s6376/,520,40,25
s6377/,520,40,31
s6391/,5625,225,14
s6405/,42320,4232,46
s6408/,0,0,0
s6426/,720,18,21
s6436/,160,8,3
s6437/,180,9,3
s6444/,298,10,9
s6447/,75000,2500,31
s6453/,12960,288,21
s6462/,480,16,15
s6470/,4050,150,12
s6477/,72540,2418,20
s648/,3375,135,28
s6486/,900,36,4
s6487/,70500,282,21
s6494/,4230,141,65
s6502/,4000,200,25
s6503/,17100,171,23
s6504/,6000,120,20
s6512/,29850,597,2
s6514/,12000,240,2
s6515/,17850,357,2
s6516/,23900,478,2
s6517/,29850,597,2
s6521/,29850,597,55
s6522/,640,32,12
s6523/,25,1,12
s6524/,17850,357,21
s6526/,29850,597,21
s6529/,19602,162,108
s6530/,52000,104,33
s6536/,17200,344,2
s6537/,17200,344,41
s6538/,3500,70,2
s6539/,3500,70,18
s6540/,7605,585,53
s6541/,0,0,0
s6542/,0,0,0
s6543/,22950,102,29
s6551/,28400,568,13
s6565/,78,6,18
s6568/,30,3,7
s6571/,0,0,0
s6572/,0,0,0
s6573/,1200,40,15
s6577/,4050,150,13
s6580/,3570,119,15
s6583/,4500,45,16
s6598/,375,15,10
s6603/,3600,120,16
s6609/,47475,1899,19
s6614/,0,0,0
s6618/,10425,417,16
s6620/,13068,108,26
s6623/,24525,981,21
s6624/,4200,168,12
s6625/,19800,660,18
s6632/,0,0,0
s6633/,240,6,6
s6634/,240,6,5
s6637/,9540,318,11
s6641/,64600,646,2
s6660/,31800,1060,2
s6665/,0,0,0
s6673/,5970,199,21
s6674/,125,5,5
s6680/,1875,75,9
s6681/,1875,75,9
s6682/,1875,75,8
s6683/,1875,75,6
s6687/,124400,2488,66
s6688/,600,24,11
s6690/,700,28,12
s6691/,650,26,9
s6692/,675,27,13
s6693/,650,26,10
s6694/,650,26,11
s6695/,33300,444,61
