Latitude,Longitude,Depth,Date,Source ID
,,,2024-04-08,s5069
,,,2024-04-09,s5073
,,,2023-11-22,s5086
,,,2024-05-16,s5087
,,,2024-04-08,s5104
,,,2024-01-06,s5118
,,,2024-03-18,s5119
,,,2023-10-16,s5120
,,,2023-10-25,s5181
,,8.0,2024-08-06,s5203
,,11.0,2024-06-17,s5204
,,,2014-05-01,s5219
,,,2023-01-06,s5221
,,,2024-01-13,s5252
25.29191,36.95815,9.0,2024-05-29,s5262
24.44149,37.14812,9.0,2024-05-29,s5262
,,,2024-07-02,s5278
,,,2024-07-03,s5278
,,,2024-07-04,s5278
,,,2024-07-05,s5278
,,,2024-07-01,s5288
,,,2024-07-17,s5307
,,,2024-07-17,s5310
,,,2024-07-22,s5325
,,,2024-07-22,s5329
,,,2024-07-14,s5341
,,,2023-07-14,s5349
"13,51937","120,95555",7.5,2024-07-02,s5363
,,,2024-07-25,s5391
,,,2024-05-28,s5392
,,,2024-07-28,s5392
,,,2024-06-05,s5393
,,,2024-06-05,s5394
-4.92719,119.3207,4.0,2024-07-02,s5395
,,,2024-06-05,s5399
,,,2024-06-04,s5411
,,,2024-06-11,s5411
,,,2024-06-18,s5411
,,,2024-06-25,s5411
,,,2024-07-02,s5411
,,,2024-06-05,s5413
,,,2024-06-05,s5416
,,,2024-06-05,s5417
21.28069,-157.67091,10,2024-08-31,s5423
,,,2024-06-05,s5428
,,,2024-07-01,s5444
,,,2024-06-05,s5445
,,,2024-06-05,s5446
,,,2024-06-05,s5449
,,,2024-06-05,s5450
,,,2024-06-05,s5451
,,,2024-06-05,s5454
,,,2024-06-05,s5458
,,,2024-06-05,s5459
,,,2024-06-05,s5460
,,,2024-06-05,s5461
,,,2024-06-05,s5465
,,,2024-06-05,s5467
,,,2024-06-05,s5468
,,,2024-07-10,s5471
,,,2024-07-10,s5473
,,,2024-07-10,s5474
,,,2024-07-10,s5476
,,,2024-06-24,s5477
,,,2024-07-10,s5479
,,,2024-07-10,s5480
15.356667,73.778333,6m,2024-01-05,s5549
,,,2023-02-19,s5564
,,,2024-08-22,s5690
,,,2012-09-21,s57
,,,2025-03-30,s5752
,,,2024-10-30,s5756
,,12m,2024-09-26,s5774
,,13m,2024-09-26,s5774
,,11.7m,2024-09-26,s5774
,,14m,2024-09-26,s5774
,,,2024-09-19,s5788
,,2,2017-01-13,s580
,,,2024-09-19,s5813
,,,2024-09-19,s5815
,,,2024-11-01,s5829
,,4-12m,2024-11-04,s5831
,,1.5 m,2024-11-19,s5836
,,,2014-05-01,s5847
,,,2024-06-03,s5864
,,,2024-10-16,s5900
,,10.0,2024-11-13,s5942
3.090083,72.967917,10.0,2024-12-13,s5984
3.090083,72.967917,10.6,2024-12-13,s5984
3.090083,72.967917,10.7,2024-12-13,s5984
3.090083,72.967917,11.1,2024-12-13,s5984
